License Number,License Type,Legal Business Name,D.B.A. (Doing Business As),Business Type,Medical Cannabis Retail,Social Equity Classified,Retail Site Address,Site Contact,Email,Local Authority,City,County,Site License Issued Date,License Expiration Date
MEZZO-L24-000055,Mezzobusiness,Northern Illusion LLC,Greenleaf Meadow,Manufacturing,N/A,Yes,N/A,Shekhar Nepal,snepal67@icloud.com,City of Harris,Harris,Chisago,8/31/2026,2/19/2027
MICRO-L25-001434,Microbusiness,Kailua Cultivation LLC,Kailua Cultivation LLC,Cultivation,N/A,No,N/A,Leonard Mcquen,pigpen662@hotmail.com,City of Mankato,Mankato,Blue Earth,8/31/2026,8/31/2027
CUL-L24-000047,Cultivator,Loon Cultivation LLC,Loon Cultivation LLC,Cultivation,N/A,Yes,N/A,Patrick Schuna,pat@elmwoodsfarm.com,City of Mankato,Mankato,Blue Earth,8/28/2026,8/28/2027
DIS-L25-000016,Retail,Black Bear Wellness MN LLC,Black Bear Dispensary,Retail,Yes,Yes,"209 W Bridge Street, Owatonna, MN 55060",Jesse Worsk,jesse@blackbeardispensary.com,City of Owatonna,Owatonna,Steele,8/28/2026,3/2/2027
MICRO-L25-001109,Microbusiness,ZENITH GREEN INC,TERRACE HIGH,Retail,No,No,"6211 Upper 51 Street N, Oakdale, MN 55128",Virender Singh,"rrkinvestement@gmail.com
contact@terracehigh.com",City of Oakdale,Oakdale,Washington,8/28/2026,8/28/2027
MICRO-L25-001563,Microbusiness,Cool Cats Cannabis,Cool Cats Cannabis,Cultivation,N/A,No,N/A,Styles Johnson,styles.johnson@coolcatscannabis.com,City of Kasota,Saint Peter,Le Sueur,8/28/2026,8/28/2027
MEZZO-L24-000104,Mezzobusiness,Jay Bird's Buds Inc.,Jay Bird's Buds Inc.,Cultivation,N/A,Yes,N/A,D'Lynn Roach,"ArtemusDreams@gmail.com
dlynn.r24@gmail.com",City of Mankato,Mankato,Blue Earth,8/26/2026,8/26/2027
MICRO-L24-000349,Microbusiness,DSFDP Greenhouses LLC,DSFDP Greenhouses LLC,Cultivation,N/A,Yes,N/A,Debra O'Donoghue,dsfdpgreenhouses@gmail.com,Le Sueur County,Montgomery,Le Sueur,8/26/2026,8/26/2027
MICRO-L25-000799,Microbusiness,5Th Sun Gardens LLC,5Th Sun Gardens LLC,Retail,No,No,"111 Coffee Street E, Suite 2, Lanesboro, MN 55949",Luis Hummel,luishummel1010@gmail.com,Fillmore County,Lanesboro,Fillmore,8/26/2026,8/26/2027
MICRO-L25-000979,Microbusiness,Marie Vannelli Endeavors LLC,Marie Vannelli Endeavors LLC,Cultivation,N/A,No,N/A,Marie Vannelli,Mvannelli1@gmail.com,City of Scandia,Scandia,Washington,8/26/2026,8/26/2027
MICRO-L25-001293,Microbusiness,PACK LLC,Marawanna,Manufacturing,N/A,No,N/A,Peter Schmidt,peter.schmidt@marawanna.org,City of Bloomington,Bloomington,Hennepin,8/26/2026,5/22/2027
MICRO-L25-001323,Microbusiness,Minnesota Highlands LLC,Minnesota Highlands LLC,Cultivation,N/A,No,N/A,Mitchell Houle,minnesotahighlands@gmail.com,City of Scandia,Scandia,Washington,8/26/2026,8/26/2027
MICRO-L25-001531,Microbusiness,the joint L.L.C.,the joint L.L.C.,Cultivation,N/A,No,N/A,Maxwell Vannelli,Vannellimax7@gmail.com,Washington County,Scandia,Washington,8/26/2026,12/18/2026
CUL-L24-000024,Cultivator,Christian Stiers,Stiers Farms,Cultivation,N/A,Yes,N/A,April Roth,"ilovethisplant@gmail.com
aprilroth@grownrogue.com",City of Fridley,Fridley,Anoka,8/25/2026,8/25/2027
CUL-L25-000028,Cultivator,Blue Fox Brands - Minnesota Inc.,Blue Fox Brands - Minnesota Inc.,Cultivation,N/A,No,N/A,John Mackewich,"Kostas@bluefoxbrands.com
johnmackewich@mackewich.com",Fillmore County,Harmony,Fillmore,8/25/2026,8/25/2027
MDCMB-L25-000005,Medical Cannabis Combination Business,Zomer Farms LLC,Zomer Farms LLC,Cultivation,N/A,No,N/A,Justin Seurer,"justinseurer@me.com
Justin@ZomerFarms.com",City of Maple Plain,Maple Plain,Hennepin,8/25/2026,8/25/2027
MICRO-L24-000395,Microbusiness,Grounded Gardens LLC,Grounded Gardens LLC,Cultivation,N/A,Yes,N/A,Bridgette Bethke Pinder,groundedgardensllc@gmail.com,McLeod County,Hutchinson,McLeod,8/25/2026,10/21/2026
MICRO-L25-000873,Microbusiness,Wild River Cannabis LLC,Wild River Dispensary,Retail,No,No,"4628 Isanti Trail, North Branch, MN 55056",James Rayer,wildriverwelding@gmail.com,City of North Branch,North Branch,Chisago,8/25/2026,8/25/2027
MICRO-L25-000884,Microbusiness,Warfare Store LLC,Warfare Store LLC,Cultivation,N/A,Yes,N/A,Jack Zimmerman,jack@jackzimmermanmn.com,City of Mankato,Mankato,Blue Earth,8/25/2026,8/25/2027
MICRO-L25-001195,Microbusiness,JA Minny LLC,North Blume Cannabis - Rogers,Retail,No,No,"21753 S Diamond Lake Road, Rogers, MN 55374",Alan Shamoun,"julian@cann.dev
alan@shamounlaw.com",City of Rogers,Rogers,Hennepin,8/25/2026,8/25/2027
MICRO-L25-001403,Microbusiness,Moose Ridge Inc.,Moose Ridge Inc.,Cultivation,N/A,No,N/A,Curtis Hall,"boston@bluesagecanna.com
admin@kindlymn.com",City of Mankato,Mankato,Blue Earth,8/25/2026,8/25/2027
